street,suburb,government_area,market,country,country_code,type,Latitude,Longitude,is_location_exact
"九龍, 九龍, Hong Kong",Shek Kip Mei,Sham Shui Po,Hong Kong,Hong Kong,HK,Point,22.32758,114.1692,False
"Rosebery, NSW, Australia",Rosebery,Sydney,Sydney,Australia,AU,Point,-33.91599,151.20801,True
"Istanbul, Istanbul Province, Turkey",Taksim,Beyoglu,Istanbul,Turkey,TR,Point,41.03674,28.97523,False
"Ryde, NSW, Australia",Putney,Ryde,Sydney,Australia,AU,Point,-33.81832,151.11431,True
"Porto, Porto, Portugal",,Bonfim,Porto,Portugal,PT,Point,41.14246,-8.59647,True
"Hong Kong, Hong Kong Island, Hong Kong",Sai Ying Pun,Central & Western,Hong Kong,Hong Kong,HK,Point,22.28631,114.14024,True
"Waimea, HI, United States",Kauaʻi,Waimea-Kekaha,Kauai,United States,US,Point,21.9593,-159.67869,True
"BARCELONA, city, Spain",La Vila Olímpica,la Vila Olímpica del Poblenou,Barcelona,Spain,ES,Point,41.39343,2.19552,False
"Barcelona, Catalunya, Spain",El Poblenou,el Poblenou,Barcelona,Spain,ES,Point,41.40125,2.19975,True
"Beşiktaş, İstanbul, Turkey",Beşiktaş,Besiktas,Istanbul,Turkey,TR,Point,41.04642,29.00155,False
"Montréal, Québec, Canada",Old Montreal,Ville-Marie,Montreal,Canada,CA,Point,45.50945,-73.55192,True
"Kailua, HI, United States",Oʻahu,Koolaupoko,Oahu,United States,US,Point,21.39336,-157.7242,True
"Barra da Tijuca, Rio de Janeiro, Brazil",Barra da Tijuca,Barra da Tijuca,Rio De Janeiro,Brazil,BR,Point,-23.008770033906796,-43.32005393936848,False
"Barcelona, Catalunya, Spain",Sant Andreu,Navas,Barcelona,Spain,ES,Point,41.41756,2.1805,True
"Ewa Beach, HI, United States",Leeward Side,Ewa,Oahu,United States,US,Point,21.31398,-157.99501,True
"Porto, Porto, Portugal",,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Porto,Portugal,PT,Point,41.14982,-8.61448,True
"Vila Nova de Gaia, Porto, Portugal",,Canidelo,Porto,Portugal,PT,Point,41.12151,-8.66554,True
"Vila Nova de Gaia, Porto, Portugal",,Santa Marinha e São Pedro da Afurada,Porto,Portugal,PT,Point,41.12073,-8.63221,True
"Istanbul, İstanbul, Turkey",Kadıköy,Kadikoy,Istanbul,Turkey,TR,Point,40.98429,29.02372,False
"Porto, Porto, Portugal",,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Porto,Portugal,PT,Point,41.16364,-8.62006,True
"Porto, Porto, Portugal",,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Porto,Portugal,PT,Point,41.14334,-8.61027,True
"Hong Kong, Hong Kong, Hong Kong",Sai Ying Pun,Central & Western,Hong Kong,Hong Kong,HK,Point,22.28482,114.13993,True
"Beyoğlu, İstanbul, Turkey",Cihangir,Beyoglu,Istanbul,Turkey,TR,Point,41.035,28.98488,False
"Vila Nova de Gaia, Porto, Portugal",,Santa Marinha e São Pedro da Afurada,Porto,Portugal,PT,Point,41.1393,-8.60762,False
"Hong Kong, Kowloon, Hong Kong",Kowloon City,Kowloon City,Hong Kong,Hong Kong,HK,Point,22.30185,114.18662,True
